,user_id,click_article_id,click_timestamp,click_environment,click_deviceGroup,click_os,click_country,click_region,click_referrer_type
21,199993,5408,1507029685414,4,3,2,1,25,1
22,199993,107301,1507029792652,4,3,2,1,25,1
23,199993,64329,1507029822652,4,3,2,1,25,1
54,199983,162655,1507029902370,4,1,17,1,16,1
55,199983,158082,1507029932370,4,1,17,1,16,1
82,199977,175040,1507035502039,4,1,17,1,8,2
83,199977,156560,1507041498823,4,1,17,1,8,1
84,199977,182513,1507041528823,4,1,17,1,8,1
191,199936,272143,1507029810771,4,1,17,1,25,2
192,199936,162655,1507029840771,4,1,17,1,25,2
245,199914,175040,1507030743751,4,1,17,1,12,2
246,199914,182513,1507031052992,4,1,17,1,12,2
247,199914,336476,1507031082992,4,1,17,1,12,2
263,199907,286420,1507033319778,4,1,17,1,25,5
264,199907,336476,1507033349778,4,1,17,1,25,5
322,199887,175040,1507029913037,4,1,17,1,25,2
323,199887,336476,1507029943037,4,1,17,1,25,2
583,199792,36605,1507030235655,4,3,2,1,21,2
584,199792,272143,1507030265655,4,3,2,1,21,2
627,199775,161409,1507034611272,4,1,17,1,8,2
628,199775,36605,1507034911577,4,1,17,1,8,2
629,199775,141448,1507035684511,4,1,17,1,8,1
630,199775,140349,1507035711151,4,1,17,1,8,1
631,199775,156560,1507035741151,4,1,17,1,8,1
637,199772,198659,1507029923148,4,1,17,1,18,1
638,199772,272143,1507030110619,4,1,17,1,18,1
639,199772,199198,1507030151632,4,1,17,1,18,1
640,199772,162655,1507030319403,4,1,17,1,18,1
641,199772,199539,1507031371466,4,1,17,1,18,1
642,199772,199071,1507031398146,4,1,17,1,18,1
643,199772,199310,1507031448220,4,1,17,1,18,1
644,199772,156560,1507031478220,4,1,17,1,18,1
663,199763,348111,1507030168810,4,1,17,1,13,2
664,199763,182513,1507030349108,4,1,17,1,13,2
665,199763,336476,1507030379108,4,1,17,1,13,2
684,199758,236726,1507029903141,4,1,17,1,21,1
685,199758,242485,1507029933141,4,1,17,1,21,1
690,199755,156560,1507029920449,4,1,17,1,6,1
691,199755,65373,1507030161186,4,1,17,1,6,1
692,199755,235230,1507040943008,4,1,17,1,6,1
693,199755,47773,1507041936980,4,1,17,1,6,1
